Generation,BestFitness,MedianFitness,AvgFitness
227,0.002390,0.596608,11760004172.516100
228,0.002390,0.611970,16440008374.405447
229,0.002390,0.655979,13140008962.914734
230,0.002390,0.689422,16700012857.230391
231,0.002390,0.563672,9160002045.029324
232,0.002390,0.563672,13520009483.560730
233,0.002390,0.563672,11480005292.338875
234,0.002390,0.690122,14140003898.539461
235,0.002390,0.563672,15060005060.146547
236,0.002390,0.563672,12300008018.790966
237,0.002390,0.563672,10960005484.640400
238,0.002390,0.770584,20740008518.356808
239,0.002390,0.650804,13020008144.396973
240,0.002390,0.658815,11560005125.651028
241,0.002390,0.584940,11800003527.208921
242,0.002390,0.563180,7520005532.335363
243,0.002390,0.629047,13240004597.853258
244,0.002390,0.696864,13440006441.526711
245,0.002390,0.563303,17460006401.747990
246,0.002390,0.563672,14540004766.819092
247,0.002390,0.563672,12820006952.226107
248,0.002390,0.664965,12560004575.032352
249,0.002390,0.732804,14040007656.924879
250,0.002390,0.563180,14520003211.364098
251,0.002390,0.609582,14240006260.334929
252,0.002390,0.725185,10500006612.527515
253,0.002390,0.563672,12100006194.304487
254,0.002390,0.838903,10360005606.213829
255,0.002390,0.563642,8340003737.571860
256,0.002390,0.724544,16080008722.084057
257,0.002390,0.594139,15640007478.704702
258,0.002390,0.654428,13800005352.437525
259,0.002390,0.563672,16680011085.086624
260,0.002390,0.585797,14680007515.327240
261,0.002390,0.884780,19800007625.054817
262,0.002390,0.563672,17960011031.330612
263,0.002390,0.738194,19820008367.480419
264,0.002390,0.563672,13260004369.065474
265,0.002390,0.670231,13520006529.476789
266,0.002390,0.563672,9760006369.842207
267,0.002390,0.563425,8060002979.170462
268,0.002390,0.563672,12440008375.020041
269,0.002390,0.689569,14100009222.975914
270,0.002390,0.763322,21340008183.566643
271,0.002390,0.563642,18740009261.012260
272,0.002390,0.591626,9680003733.988268
273,0.002390,0.563672,13180005387.412252
274,0.002390,0.674902,12540007520.547897
275,0.002390,0.609777,14960006645.238699
276,0.002390,0.584940,16820006158.979410
277,0.002390,0.563672,12260007319.995094
278,0.002390,0.596608,11060005098.397934
279,0.002390,0.563672,11640003245.628456
280,0.002390,0.566295,18140002948.059830
281,0.002390,0.569847,11700008256.305077
282,0.002390,0.690361,16520007814.262129
283,0.002390,0.668749,19500011321.429676
284,0.002390,0.668067,14980003722.685860
285,0.002390,0.563672,12160008108.540430
